"Sample_barcode","5ml_Rack_Number","grind_notes","extraction_notes"
"19A0342",1,NA,NA
"19A0025",1,NA,NA
"19A0240",1,NA,"junk"
"19A0181",1,NA,NA
"19A0072",1,NA,NA
"19A0322",1,NA,"junk"
"19A0076",1,NA,NA
"19A0123",2,NA,NA
"19A0133",2,NA,NA
"19A0093",2,NA,NA
"19A0107",2,NA,"junk"
"19A0095",2,NA,"junk"
"19A0010",3,NA,NA
"19A0042",3,NA,"junk"
"19A0114",3,NA,NA
"19A0288",4,NA,"junk in bottom step 5 day 2"
"19A0077",4,NA,NA
"19A0198",4,NA,NA
"19A0273",4,NA,NA
"19A0264",5,NA,NA
"19A0200",5,NA,NA
"19A0120",5,NA,"junk in bottom day 2"
"19A0287",5,NA,NA
"19A0053",5,NA,NA
"19A0310",5,NA,NA
"19A0163",6,NA,NA
"19A0220",6,NA,NA
"19A0211",6,NA,NA
"19A0274",6,NA,NA
"19A0333",7,NA,"junk in bottom day2"
"19A0035",7,NA,"junk"
"19A0257",7,NA,NA
"19A0118",8,NA,NA
"19A0110",8,NA,NA
"19A0194",8,NA,NA
"19A0158",8,NA,NA
"19A0197",8,NA,NA
"19A0254",9,NA,"junk in bottom step 5 day 2"
"19A0312",9,NA,NA
"19A0344",9,"2ml barcoded tubes tossed and redone because of possible mixup","handwritten plot number"
"19A0297",9,NA,NA
"19A0233",9,NA,NA
"19A0362",9,NA,"junk"
"19A0276",9,NA,NA
"19A0363",9,NA,NA
"19A0304",9,NA,NA
"19A0426",10,NA,NA
"19A0428",10,NA,NA
"19A0436",10,NA,NA
"19A0326",11,NA,NA
"19A0285",11,NA,NA
"19A0369",11,NA,NA
"19A0239",11,NA,NA
"19A0249",12,NA,NA
"19A0199",12,NA,NA
"19A0092",12,NA,NA
"19A0184",12,NA,NA
"19A0119",12,NA,NA
"19A0459",12,NA,NA
"19A0413",12,NA,NA
"19A0177",12,NA,NA
"19A0383",12,NA,NA
"19A0396",13,NA,NA
"19A0282",13,NA,"junk"
"19A0221",13,NA,NA
"19A0295",13,NA,NA
"19A0278",14,NA,NA
"19A0291",14,NA,NA
"19A0271",14,NA,NA
"19A0348",15,NA,NA
"19A0382",15,NA,NA
"19A0425",16,NA,NA
"19A0372",16,NA,"junk in bottom day 2"
"19A0365",16,NA,"junk"
"19A0350",16,NA,NA
"19A0457",16,NA,NA
"19A0336",17,"This is a redo","says redo in sharpie; may have lost pellet"
"19A0182",17,NA,NA
"19A0444",17,NA,NA
"19A0422",18,"rep 1 polycon missing; used rep 2 polycon",NA
"19A0260",18,NA,NA
"19A0246",18,NA,"junk"
"19A0432",18,NA,NA
"19A0281",18,NA,NA
"19A0392",18,NA,NA
